	Text	Contains_hate
0	"وزارة الصحة​ الروسية لا ترى أي عراقيل أمام استخدام دواء ""هيدروكسي كلوروكين"" المضاد للملاريا في علاج ​#فيروس_كورونا​ رغم أن هذا العقار غير مسجل في ​#روسيا"	Not Hatefull
1	وزارة الصحة تكشف عن إرتفاع عدد الإصابات المؤكدة بفيروس كورونا في الجزائر اليوم  🔴 تسجيل 631 حالة إصابة جديدة بفيروس كورونا 🔴 إرتفاع عدد المصابين بفيروس كورونا إلى 60800  https://t.co/9nSabLXuNq	Not Hatefull
2	كيفية الوقاية من فيروس كورونا الجديد للوقاية من الإصابة بالفيروس المسبب للمرض يجب الحرص عليا إتباع الإجراءات الوقائية التالية: الاستخدام المنديل عند العطاس أو السعال ثم التخلص منه في سلة المهملات . غسل اليدين جيدا بالماء والصابون وفي حال عدم توفرهما يمكن إستخدام المعقم الخاص	Not Hatefull
3	#دولي: وسائل إعلام جزائرية: الرئيس عبد المجيد تبون في حجر صحي طوعي بعد ظهور أعراض كورونا على عدد من موظفي الرئاسة.	Not Hatefull
4	" https://t.co/1RVxpaK1nt"" كيلي"" مصابة بسرطان الثدي وزوجها الجميل "" ألبرت"" كان متعود يروح معاها كل جلسة من جلسات العلاج الكيماوي. لكن بعد انتشار فيروس كورونا مستشفيات ولاية تكساس     "" I can't be with you , but I am here loving you  "" لا أستطيع أن أكون معك لكن أنا هنا ..أحبك "" ❤️"	Not Hatefull
5	منظمة الصحة العالمية تدعو لوقف استخدام عقار هيدروكسي كلوروكين والتجارب السريرية تثبت ان لا فائدة منه في علاج #كورونا. كم مليون $ انفقت الإمارات لشراء هذا الدواء؟ وكم مليون $ انفقت لشراء اجهزة فحص اتضح لاحقا انها غير صالحة للكشف عن كورونا؟ حياة الناس غالية لكن المال العام مسؤولية	Not Hatefull
6	#كورونا #البدون اللهم بشرنا بزوال هذا الوباء وارفع عنا الظلم وكل هذا الأبتلاء وطهر الارض منه ومن كل بلاء واشفي مرضانا ومرضى جميع المسلمين أجمعين اللهم انك قلت وقولك الحق  وما كان الله معذبهم وهم يستغفرون  اللهم إنَّا نستغفرك ونتوب اليك من كل ذنب عظيم	Not Hatefull
7	#عاجل..  شركة فايزر الأميركية ترفع فاعلية لقاحها لفيروس #كورونا إلى 95%  #نتصدر_المشهد  #COVID19  https://t.co/nyW8zozhWu	Not Hatefull
8	أصبحنا مثل #البرلمانيين 👨‍💼:           الأكل و النوم ... ههههـ🤣 ـههههـ😆 ـهههه خاصتنا غير #ملـ40ـيون تاع الشهرية.   #ريح_في_داركم 🏡 #COVID19dz   #الجزائر 🇩🇿 #فيروس_كورونا☣️ #وعينا_يحمينا  #كلنا_مسؤول #بيتك_حياتك #حظر_التجوال_في_الجزائر	Not Hatefull
9	مؤلم جداً  عندما تختنق بسبب الكورونا ، سيقومون بإدخال تلك القطعة المعدنية  في حلقك لتوسيع الحلقوم بعدها يدخلون ذلك الأُنبوب ليصل الى رئتيك ويضخون الأُوكسجين البارد فيهما بعدها تصاب بصداع شديد من صوت فلتر الأوكسجين.    لتجنب كل هذا  #اجلس_بالبيت  #عمان_تواجه_كرونا  #عُمان  https://t.co/zejIh7jFKc	Not Hatefull
